HR_LEMFO;HR_Polar
67;70
67;70
65;70
64;71
65;71
66;71
67;70
67;70
67;69
67;68
67;67
66;66
67;66
67;66
65;66
64;66
64;66
63;66
63;65
62;65
61;65
61;65
62;64
62;64
62;64
64;65
65;66
67;66
67;66
67;66
67;66
66;66
67;65
67;66
67;66
66;66
65;66
63;67
63;67
63;66
63;66
63;65
62;64
61;64
62;64
63;64
63;65
63;65
64;65
65;65
66;65
66;64
67;64
67;64
68;64
68;64
66;64
67;64
67;64
65;64
64;64
63;64
63;64
64;64
65;64
64;63
63;63
64;64
65;64
66;64
67;64
67;64
67;65
68;65
68;65
67;65
67;64
66;64
67;64
69;64
72;64
75;64
78;64
81;64
82;64
82;64
80;64
77;64
74;64
71;64
69;65
69;65
70;65
70;65
68;66
68;66
68;66
70;67
70;66
69;66
68;66
68;66
68;66
68;66
69;67
69;66
69;66
69;66
69;65
68;65
67;65
66;65
65;65
64;65
64;66
64;66
65;67
66;67
67;68
68;68
68;68
67;68
66;68
65;68
63;68
61;69
60;69
60;69
62;69
64;69
67;69
68;69
67;68
65;68
63;68
62;69
62;69
61;68
61;68
60;68
59;68
58;68
58;68
59;68
61;68
63;68
67;68
70;68
73;69
73;69
72;69
70;70
70;70
70;70
70;71
69;71
68;71
67;71
68;71
69;70
69;70
70;70
70;69
70;69
